Author;URLs;Heading;Views;Engagement;Action;Likes;Comments;Shares;Createtime;Duration
pearriepai;https://www.tiktok.com/@pearriepai/video/7628691201335594261;จังหวะชุลมุนของซองชาน 🥹#riize #K2O #สงกรานต์ ;21900;1801;27;1774;1;26;46126;20
pearriepai;https://www.tiktok.com/@pearriepai/video/7628689693294480660;โคตรเดือดดด 🔥 เก่งมากๆๆๆ #lngshot #K2O #บันเทิงtiktok ;15100;1111;13;1098;4;9;46126;173
pearriepai;https://www.tiktok.com/@pearriepai/video/7628685025667534101;คุ้มมม !!! 🔥 #lngshot #K2O #บันเทิงtiktok #jaypark ;14900;1103;18;1085;1;17;46126;92
pearriepai;https://www.tiktok.com/@pearriepai/video/7628682957443648789;มีคอนเมื่อไหร่ ขอไปด้วยยย 🙋🏻‍♀️🥹 #K2O  #lngshot #บันเทิงtiktok ;36400;5108;91;5017;16;75;46126;46
pearriepai;https://www.tiktok.com/@pearriepai/video/7628678155615669525;จังหวะลื่นใจเจ็บมากๆ 🥺 #K2O #บันเทิงtiktok #riize ;20700;2196;43;2153;2;41;46126;65
pearriepai;https://www.tiktok.com/@pearriepai/video/7628663267812199700;โดนใจพี่กระเทยมาก !! 🔥 #K2O #kissoflife #สงกรานต์ ;134100;12642;242;12400;16;226;46126;22
pearriepai;https://www.tiktok.com/@pearriepai/video/7628656658612292884;แฟนบอยเยอะมากกก (?) 🔥 #kissoflife #K2O #บันเทิงtiktok ;16400;888;6;882;1;5;46126;65
pearriepai;https://www.tiktok.com/@pearriepai/video/7628600547938929941;เอ็นดูอ่ะ….🥺 #K2O #สงกรานต์ #bus ;254100;47430;1530;45900;72;1458;46126;98
pearriepai;https://www.tiktok.com/@pearriepai/video/7628543300928048405;เติมเกลฟินๆ !! 😜 #เติมเกล #สงกรานต์ ;70200;6989;185;6804;11;174;46126;21
pearriepai;https://www.tiktok.com/@pearriepai/video/7627404896253267220;ก่อนเจอ K2O ใครไป S2O บ้างงงง !! 🙋🏻‍♀️ #สงกรานต์ #S2O #K2O #บันเทิงtiktok ;147700;13011;211;12800;9;202;46123;125
pearriepai;https://www.tiktok.com/@pearriepai/video/7627380854028832021;เจอเพื่อนที่เกาหลี แต่เขาร้องโพก้าซังได้!? 😱 @Jenifer Wirawan 🐼🇮🇩🥹🩵💚  #polcasan #โพก้าซัง #บันเทิงtiktok ;45000;6213;420;5793;21;399;46123;91
pearriepai;https://www.tiktok.com/@pearriepai/video/7627116734025190676;ลืมลง…. #tws #kpop ;35700;3125;20;3105;4;16;46122;21
pearriepai;https://www.tiktok.com/@pearriepai/video/7626356154808945941;เต้นแล้วแต่จะคิด.. ชีวิตคนละแบบ 🥹 #บันเทิงtiktok ;72800;11609;209;11400;34;175;46120;14
pearriepai;https://www.tiktok.com/@pearriepai/video/7625883149276286228;อิมแพคเลย!!! ปังมาก 🥹🔥 #บันเทิงtiktok #ติ่งกับtiktok ;100100;18001;1601;16400;56;1545;46119;61
pearriepai;https://www.tiktok.com/@pearriepai/video/7625513260141366549;ไม่มีอะไรน่าเสียดายในฐานะแฟนคลับ รอสนับสนุนเค้าต่อไป… 🤍 #tenlee #ติ่งกับtiktok #บันเทิงtiktok ;398600;74019;4719;69300;224;4495;46118;344
pearriepai;https://www.tiktok.com/@pearriepai/video/7624914506619112724;ขอบคุณทุกๆความสุขที่มอบให้เราเลย…. 🤍 #ArcadiaBANGKOK ;41200;6117;89;6028;7;82;46116;269
pearriepai;https://www.tiktok.com/@pearriepai/video/7624911974291295509;ไม่คาดหวัง ยังผิดหวัง!!  อยากดึงผมตัวเองง 😭😭 #ArcadiaBANGKOK #ติ่งกับtiktok ;83900;12177;577;11600;31;546;46116;108
pearriepai;https://www.tiktok.com/@pearriepai/video/7624831549095021845;กล้าจะสอนคนอื่น ! ;164300;34497;797;33700;75;722;46116;80
pearriepai;https://www.tiktok.com/@pearriepai/video/7624814671673085205;เป็นส่วนหนึ่งในชีวิต แต่ไม่ใช่ทั้งหมดของชีวิตนะ สู้ๆทุกคน🥹🤍🫂 #ติ่งกับtiktok ;91400;19613;713;18900;102;611;46116;178
pearriepai;https://www.tiktok.com/@pearriepai/video/7624558270996434197;ขอบคุณคนขอบข้าง ที่คอยโอบกอดในวันที่คงจะผ่านไปได้ยาก 🥺🫶🏻 ;748800;94678;2578;92100;237;2341;46115;27
pearriepai;https://www.tiktok.com/@pearriepai/video/7624366187471801621;ใครว่าเก็บการ์ดไม่มีประโยชน์ 😭#ติ่งกับtiktok #tiktokแฟนด้อม ;382400;59226;1326;57900;126;1200;46115;113
pearriepai;https://www.tiktok.com/@pearriepai/video/7623706289411247380;ไว้ไปเที่ยวโง่ๆด้วยกันอีกนะมึง @mile (มาย)  🫶🏻 #เพื่อน #friend ;42300;6345;978;5367;9;969;46113;59
pearriepai;https://www.tiktok.com/@pearriepai/video/7623402375293766932;ฟิน @mile (มาย) ;14600;915;5;910;3;2;46112;58
pearriepai;https://www.tiktok.com/@pearriepai/video/7623303946307669268;สวยมากก ชื่นใจจจ 🌸🥹 #รีวิวเกาหลี #เที่ยวเกาหลี ;28400;2386;344;2042;14;330;46112;37
pearriepai;https://www.tiktok.com/@pearriepai/video/7623271083545840916;กลัวหลุดร้องเพลงใต้มาก! 🥲 #fyp ;40200;4868;29;4839;13;16;46112;16
pearriepai;https://www.tiktok.com/@pearriepai/video/7623268000631868693;คำถามยอดฮิต นี้นะคะคำตอบ! 😂 #fyp ;18000;1024;32;992;4;28;46112;41
pearriepai;https://www.tiktok.com/@pearriepai/video/7623066070735244565;เป้าหมายคือลองทุกตู้ในเกาหลี !! 🇰🇷 #รีวิวเกาหลี ;13700;1189;12;1177;4;8;46111;17
pearriepai;https://www.tiktok.com/@pearriepai/video/7622907536584346901;แค่ได้เจอรูปเค้าก็ยิ้มแล้ว… #ติ่งกับtiktok ;57000;13264;664;12600;22;642;46111;35
pearriepai;https://www.tiktok.com/@pearriepai/video/7622872889494195477;ศิลปินเดียวที่คุยจนเจ็บคอยกให้คนนี้เลย!! #แนคลอง #เม็ดฟู่ละลายเสมหะ ;2100000;9432;117;9315;15;102;46111;60
pearriepai;https://www.tiktok.com/@pearriepai/video/7622670531547893012;มีน้ำตาจำนวนมาก 😭;18100;2186;53;2133;6;47;46110;87
pearriepai;https://www.tiktok.com/@pearriepai/video/7622665964655545621;น้ำตายังไหลไม่หยุด น้องดรีมก็ยังเต้นต่อไป 😭 #nctdream ;926600;169174;4874;164300;239;4635;46110;125
pearriepai;https://www.tiktok.com/@pearriepai/video/7622664256651037973;ฝากกำลังใจจากแฟนคลับตัวเล็กๆ ไปโอบกอดทั้งมาร์ค ทั้งน้องดรีม… 🥺🐋 #nctdream #marklee  ;423200;63606;2106;61500;142;1964;46110;91
pearriepai;https://www.tiktok.com/@pearriepai/video/7622663629510348052;my youth is Dream 📹 #nctdream ;86100;27659;459;27200;27;432;46110;192
pearriepai;https://www.tiktok.com/@pearriepai/video/7622662844244331797;dear dream 🐋 #nctdream ;10800;1225;24;1201;2;22;46110;66
pearriepai;https://www.tiktok.com/@pearriepai/video/7622662684361821461;น้องดรีม…. 🥺 #nctdream ;36700;7314;70;7244;4;66;46110;156
pearriepai;https://www.tiktok.com/@pearriepai/video/7622652716422057237;รักน้องดรีม 🥺 #nctdream ;120000;30290;890;29400;29;861;46110;73
