Post_URL,Caption,Category,Length
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid057dsmePMakdQqLcqVv8xeBpTnQGPGkF4Rz7xSw1Rx2tsD6Caqm9jJV1Gat8wfAN3l,เล่นน้ำถึงกี่ทุ่มครับ,General / Product Showcase,21
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid057dsmePMakdQqLcqVv8xeBpTnQGPGkF4Rz7xSw1Rx2tsD6Caqm9jJV1Gat8wfAN3l,Mharer Foo ราวสามทุ่มค่ะ,General / Product Showcase,24
https://www.facebook.com/reel/1357935169703702/,หูหมี หูหมี หูหมีจะเปียก,General / Product Showcase,24
https://www.facebook.com/reel/946458894834921/,"น้องเนยสนุกสุด สนุกจนลืมเพื่อน
​",General / Product Showcase,32
https://www.facebook.com/reel/883813341376297/,สนุกมากตัดสินใจฝ่าร้อนออกจากบ้าน..เอ็มที่มีเนยมันมีชีวิตมากๆ,General / Product Showcase,60
https://www.facebook.com/reel/883813341376297/,ขอบคุณที่แวะมาเติมน้องเนยที่เอ็มสเฟียร์นะค่า,General / Product Showcase,44
https://www.facebook.com/reel/787864777467941/,เก่งมากลูกแม่,General / Product Showcase,13
https://www.facebook.com/reel/958841713404478/,ชุดนี้ที่มัมรอชม ละก็สมใจ น่ารักฝุดๆๆๆ,General / Product Showcase,38
https://www.facebook.com/reel/1798745657800005/,คิวตี้แบบชัดทุกเส้นขนเลยค่ะแอด,General / Product Showcase,30
https://www.facebook.com/reel/1637892527527555/,เอาให้หนักเลยครับแผ่นป้านไม่ติด,General / Product Showcase,31
https://www.facebook.com/reel/914950824693571/,So cool so handsome,General / Product Showcase,19
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid02THhAmoc6nsnpewQEmfUHf9JKMx9vKJt4CjayaY8qRuwjUwkhQ8z6FXk4wvU8vGSnl,Emsphere มีทุกอย่างที่คุณต้องการ เเละช่วงสงกรานตร์นี้เสริฟความสนุกมากจริงๆคะ,General / Product Showcase,76
https://www.facebook.com/reel/1736839953951083/,จะร้องแหละ เลยเต้นกลบเกลื่อน ตัวแสบ รักที่สุด,General / Product Showcase,45
https://www.facebook.com/reel/1736839953951083/,Puikhao Kannattha ทำไม่ให้ซึ้ง แต่เห็นแล้วซึ้งมาก,General / Product Showcase,49
https://www.facebook.com/reel/1684583105911216/,ไม่เห็นตอนนี้เลยค่ะ ไปหยิบตอนไหนคะ,General / Product Showcase,34
https://www.facebook.com/reel/949524324158922/,มัมนานาสปอยลูกสุดๆ,General / Product Showcase,18
https://www.facebook.com/reel/1227423052709484/,มัมหน้าจอก็ไม่รอดค่ะ,General / Product Showcase,20
https://www.facebook.com/reel/1227423052709484/,นัยนา สันติยานนท์ ไม่เคยรอดค่ะ,General / Product Showcase,30
https://www.facebook.com/reel/938769725434281/,ไม่เป็นใจ โดนน้องเนยจดชื่อแน่,General / Product Showcase,29
https://www.facebook.com/reel/1430263819139030/,วันนี้สาดคลิปให้รัวๆเลยน้าาาคะแอด,General / Product Showcase,33
https://www.facebook.com/reel/1430263819139030/,รอได้เลยค่าา,General / Product Showcase,12
https://www.facebook.com/reel/1602823410951797/,ฟังไม่ถนัดเพลงอะไรค่ะ,General / Product Showcase,21
https://www.facebook.com/reel/1505966534224778/,นั่งจุมปุ้ก ตัดริบบิ้น,General / Product Showcase,22
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0GCEEC9FG7H48iUksvuQyNCjYkHRsRVjfXUpVUjBNJSqmNkhMLfoPWX5FKcowhKTgl,ขอถวายพระพร HBD  ขอพระองค์ ทรงพระเจริญ มีพลามัยแข็งแรง ทรงพระสิริโฉดงดงาม .To Be Number ONEr ONE #ทูลกระหม่อมขา,General / Product Showcase,111
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0GCEEC9FG7H48iUksvuQyNCjYkHRsRVjfXUpVUjBNJSqmNkhMLfoPWX5FKcowhKTgl,"ขอถวายพระพร HBD 
 ขอพระองค์ ทรงพระเจริญ มีพลามัยแข็งแรง ทรงพระสิริโฉดงดงาม .
To Be Number ONEr ONE #ทูลกระหม่อมขา",General / Product Showcase,113
https://www.facebook.com/EmporiumEmquartier/posts/pfbid02W3uSnMSaYscDGSUNM13ThsugJqf3eXkCx21gbeotXbsrH7d7VDosQkJy35hNdLxol,งานสงกรานต์มีไหมที่มีน้ำให้ฉีด,General / Product Showcase,30
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid02QSTYbAh6AbmjZSRdvLyWbm3xopzwXakyUfuqhxYuLff6Ywov5SSxUfLPZ27EgqKQl,เจ้าเนยของขวัญของแม่,General / Product Showcase,20
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0x3sx21inuVfS6kvnyHjauf8sfpNhZT98Qokh4gQXSsDdPgKsPJp7njWEeQ424yF5l,อยากให้ทุกคนมีความสุขในวัน,General / Product Showcase,26
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0JCeSpx9uukAeHWFMzSLeLKrjmaMtkdz2tn4WB5KDVfNceQtcvGZ4NsdX7cbcbn9pl,วันที่ 10 ผ้มล้อกคิวแย้ววว,General / Product Showcase,26
https://www.facebook.com/reel/2206015043537446/,กีฬาในร่มครบจบเลย มีครบทุกท่า,General / Product Showcase,29
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0tKXvgXbFokuAtrWWz2kKmGy5NEdRzwxw6EMCXM92DQtamrdaqwWxMDP257tZ4GHGl,"""This resonates! Sending good energy your way 
""",General / Product Showcase,48
https://www.facebook.com/reel/1578102036580671/,ต้องเจอกับป้อมเพชร,General / Product Showcase,18
https://www.facebook.com/reel/1578102036580671/,รณชัย บุญเพ็ง เจอยังไงครับ คนละเวต ป้อมเพชร135 สามเอ125,General / Product Showcase,55
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0gUiCniRXTEd3tvGBF3P6qCMBRhxhyiny3f32qGjSjkS1aTHCsKj7W7biTHibis2Yl,ภาพสวยมากค่ะ ดึงดูดเราได้1คน,General / Product Showcase,28
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0gUiCniRXTEd3tvGBF3P6qCMBRhxhyiny3f32qGjSjkS1aTHCsKj7W7biTHibis2Yl,Porntiwa Papiem +1,General / Product Showcase,18
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid02XGnLDtGK4RvsPyXdH1kyYyEtRA5AFjjMykhC9K2PbaRdSxrhsuVLPBBrM9C7NJhSl,Want to buy two tickets to bangkok,General / Product Showcase,34
https://www.facebook.com/EmporiumEmquartier/posts/pfbid02sYRr7bzAxXNazR2uXe6A2ckTDLSJVNeSseejweDgoJsLR6wnsicqSm82PyFaXAZAl,กะเทยเพิ่งรู้นะเนี่ย,General / Product Showcase,20
https://www.facebook.com/reel/946820364544577/,ชอบน้องเนยแบบเผ็ชๆ,General / Product Showcase,18
https://www.facebook.com/reel/1286002170062647/,ยัยเด็กแสบบ ! จุ๊บขนมอีกแล้ววว,General / Product Showcase,30
https://www.facebook.com/reel/4229037444078837/,น่ารักที่สุดเลยลูก แสนรักของมัม,General / Product Showcase,31
https://www.facebook.com/reel/1594191921823241/,ฟังแล้วหิววว,General / Product Showcase,12
https://www.facebook.com/reel/3938618046431095/,5555ย่างมัมไปเลย,General / Product Showcase,16
https://www.facebook.com/reel/853415251059783/,เบิ้มมาก 55,General / Product Showcase,11
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid02UuHbGj44F5VeLMjwsav7gH8oXgQumCTSFXSvAzWNw6wMvDDpgTJR7BTV5pzE7Mpal,สวยนา่รักจา้,General / Product Showcase,12
https://www.facebook.com/reel/1280248130640943/,ชอบมากครับสู้ๆนะครับเป็นกำลังใจให้,General / Product Showcase,34
